PRODUCTNAME;DESCRIPTION;IMGURL;PRICE;CODE;SLEVA;KATEGORIE;PARAMETRY;AKCE;DOPORUCUJEME;DAREK;MATERIAL;DOSTUPNOST;STANDARD_PRICE;ROZMERY;BARVY
Bambusový košík malý;Ručně pletený košík z přírodního bambusu pro všestranné použití. Košík poslouží k odkládání různých věcí anebo i jako obal na květinu.;/nabytek_doplnky/nahledy/3274.jpg;49;5054;;Proutí a košíky;Průměr košíku je 13 cm, výška 16 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový košík na 1 láhev;Ratan, proutí -bambusový košík na 1 láhev, prodáváno bez dekorace láhve vína;/nabytek_doplnky/nahledy/578.jpg;69;5257;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusový košík na 2 láhve;Ratan, proutí -bambusový košík na 2 láhve, prodáváno bez dekorace láhve vína;/nabytek_doplnky/nahledy/579.jpg;119;5111;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusový košík set 3 ks;Bambusové košíky jsou vhodné jak pro různou dekoraci, tak je lze použít i jako obal na květinu.;/nabytek_doplnky/nahledy/444.jpg, /nabytek_doplnky/nahledy/2_444.jpg;317;5198;;Proutí a košíky;Velikost košíků: Velký košík: průměr v dolní části uvnitř je 19 cm, průměr v horní části uvnitř je 22 cm, hloubka košíku uvnitř je 12,5 cm, celková výška s uchem je 41 cm Střední košík: průměr v dolní části uvnitř je 16 cm, průměr v horní části uvnitř je 18 cm, hloubka košíku uvnitř je 11 cm, celková výška s uchem je 35 cm Malý košík: průměr v dolní části uvnitř je 13 cm, průměr v horní části uvnitř je 15 cm, hloubka košíku uvnitř je 9 cm, celková výška s uchem je 33 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový košík střední;Ručně pletený košík z přírodního bambusu pro všestranné použití. Košík poslouží k odkládání různých věcí anebo i jako obal na květinu.;/nabytek_doplnky/nahledy/3273.jpg;69;5053;;Proutí a košíky;Průměr košíku je 15 cm, výška 19 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový košík tmavý L;Velice pevný košík vyrobený z přírodního bambusu pletený a barvený ručně.;/nabytek_doplnky/nahledy/2596.jpg;149;5202;;Proutí a košíky;Velikost košíku je 37x26x14 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový košík tmavý XL;Velice pevný košík vyrobený z přírodního bambusu pletený a barvený ručně.;/nabytek_doplnky/nahledy/2595.jpg;199;5201;;Proutí a košíky;Velikost košíku je 40x30x16 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový košík velký;Ručně pletený košík z přírodního bambusu pro všestranné použití. Košík poslouží k odkládání různých věcí anebo i jako obal na květinu.;/nabytek_doplnky/nahledy/3272.jpg;99;5052;;Proutí a košíky;Průměr košíku je 18 cm, výška 23 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový obal na květináč set 2 ks;Koše z přírodního bambusu s širokým rozsahem použití. Koše jsou vhodné k různé dekoraci, obaly na květiny nebo například i jako koše odpadkové.;/nabytek_doplnky/nahledy/443.jpg;299;5231+32;;Proutí a košíky;set obsahuje 4 kusy o průměrech 28 a 25 centimetrů.;0;0;0;;2 až 3 týdny;0;;
Bambusový obal na květinu set 4 ks;Set obsahuje 4 ks bambusových košíků uvnitř s igelitem, rozměry výrobků - průměr 25, 20, 18 a 14 cm;/nabytek_doplnky/nahledy/441.jpg, /nabytek_doplnky/nahledy/2_441.jpg;376;5194;;Proutí a košíky;;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový paravan;Bambusový paravan je vyroben z přírodního bambusu v barvě hnědé odpovídající obrázku. Paravan slouží nejen pro oddělení prostoru ale i jako dekorace. ;/nabytek_doplnky/nahledy/564.jpg, /nabytek_doplnky/nahledy/4_564.jpg;1790;1034;;Paravany;Bambusový nábytek - bambusový paravan, rozměr 3x45 cm, výška 160 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový plot 100x300 cm;"Bambusový plot/rohož vyrobená z bambusových tyčí průměru cca 1,5 cm. Jednotlivé bambusové tyčky jsou navlékány na drár průměru 3 mm \""jako korálky\"".";/nabytek_doplnky/nahledy/2594.jpg, /nabytek_doplnky/nahledy/2_2594.jpg;1590;5702;;Bambusové rohože a ploty;Velikost plotu je: délka 3 metry, výška 100 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový plot 130x300 cm;"Bambusový plot/rohož vyrobená z bambusových tyčí průměru cca 1,5 cm. Jednotlivé bambusové tyčky jsou navlékány na drár průměru 3 mm \""jako korálky\"".";/nabytek_doplnky/nahledy/2593.jpg, /nabytek_doplnky/nahledy/2_2593.jpg;1990;5701;;Bambusové rohože a ploty;Velikost plotu je: délka 3 metry, výška 130 cm;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 18-20 mm barvený vínový;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 18-20 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2635.jpg, /nabytek_doplnky/nahledy/2_2635.jpg, /nabytek_doplnky/nahledy/3_2635.jpg;2190;5714;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 18-20 mm. Tyče bambusového plotu jsou lakované do vínové barvy odpovídající fotografii výrobku.;0;0;1;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 18-20 mm natural;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 18-20 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2632.jpg, /nabytek_doplnky/nahledy/2_2632.jpg, /nabytek_doplnky/nahledy/3_2632.jpg;1990;5708;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm. Průměr bambusových tyčí je 18-20 milimetrů. Tyče bambusového plotu jsou přírodní nelakované.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 18-20 mm natural black;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 18-20 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2638.jpg, /nabytek_doplnky/nahledy/2_2638.jpg;2980;5711;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 18-20 mm. Tyče bambusového plotu jsou přírodní nelakované. Jedná se o přírodní tmavý bambus.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 25-30 mm barvený vínový;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 25-30 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2636.jpg, /nabytek_doplnky/nahledy/2_2636.jpg, /nabytek_doplnky/nahledy/3_2636.jpg;2190;5715;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 25-30 mm. Tyče bambusového plotu jsou lakované do vínové barvy odpovídající fotografii výrobku.;0;0;1;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 25-30 mm natural;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 25-30 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2633.jpg, /nabytek_doplnky/nahledy/2_2633.jpg, /nabytek_doplnky/nahledy/3_2633.jpg;1990;5709;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 25-30 mm. Tyče bambusového plotu jsou přírodní nelakované.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 25-30 mm natural black;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 25-30 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2639.jpg, /nabytek_doplnky/nahledy/2_2639.jpg, /nabytek_doplnky/nahledy/3_2639.jpg;2990;5712;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 25-30 mm. Tyče bambusového plotu jsou přírodní nelakované. Jedná se o přírodní tmavý bambus.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 26-35 mm barvený vínový;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 26-35 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2637.jpg, /nabytek_doplnky/nahledy/2_2637.jpg, /nabytek_doplnky/nahledy/3_2637.jpg;2190;5716;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 26-35 mm. Tyče bambusového plotu jsou lakované do vínové barvy odpovídající fotografii výrobku.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plot 2x1,8 m, 26-35 mm natural black;Bambusový plot vyrobený z přírodních bambusových tyčí průměru 26-35 milimetrů. Bambusové tyče jsou navlékány na pozinkovaný drát průměru 3mm způsobem jako korálky.;/nabytek_doplnky/nahledy/2640.jpg, /nabytek_doplnky/nahledy/2_2640.jpg, /nabytek_doplnky/nahledy/3_2640.jpg;2990;5713;;Bambusové rohože a ploty;Délka plotu je 2 metry, výška plotu je 180 cm Průměr bambusových tyčí je 26-35 mm. Tyče bambusového plotu jsou přírodní nelakované. Jedná se o přírodní tmavý bambus.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový plůtek kalsik;Plůtek z přírodního bambusu k dekoračním i praktickým účelům. Výborně se hodí například k zakončení či ohraničení záhonů. Jednotlivé bambusové tyče jsou navlékány na drát jako korálky, čímž je drát téměř skrytý.;/nabytek_doplnky/nahledy/2845.jpg;199;1444;;Bambusové rohože a ploty;Velikost je: výška 30 cm, délka 100 cm Průměr bambusových tyčí je cca 2 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový plůtek špička;Plůtek z přírodního bambusu k dekoračním i praktickým účelům. Výborně se hodí například k zakončení či ohraničení záhonů.;/nabytek_doplnky/nahledy/2844.jpg;219;1445;;Bambusové rohože a ploty;Velikost: výška 20 cm, délka 120 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový podnos na nápoje;Podnos na 6 kalíšků vyrobený ručně z přírodního bambusu;/nabytek_doplnky/nahledy/178.jpg;349;5135;;Tácy, podnosy a prostírání, piknik;rozměr 27x17x10 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový tác;Tác vyrobený z přírodního bambusu. U tohoto tácu oceníte nejen velice pevnou konstrukci díky velké pevnosti bambusu jakožto materiálu, ale také krásný vzhled a praktičnost.rozměr 47x37 cm, velice pevná konstrukce;/nabytek_doplnky/nahledy/173.jpg;149;5461;;Tácy, podnosy a prostírání, piknik;Velikost tácu  47x37 cm Tác se jednoduše udržuje a i při rozlití např. kávy je umytí snadné ale hlavně nezůstávají různé nečistoty jako u táců s výplety.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový tác hnědý;Bambusový tác velice pevné konstrukce v barevném provedení dle obrázku;/nabytek_doplnky/nahledy/174.jpg;199;5526;;Tácy, podnosy a prostírání, piknik;Rozměr bambusového  tácu je47x36x4 cm cm;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusový tác hnědý;Bambusový tác velice pevné konstrukce v barevném provedení dle obrázku;/nabytek_doplnky/nahledy/175.jpg;169;5527;;Tácy, podnosy a prostírání, piknik;Rozměr bambusového tácu je 43x34x4 cm cm;0;0;0;;2 až 3 týdny;0;;
Bambusový tác OR;Tác kulatý z přírodního bambusu v oranžové barvě;/nabytek_doplnky/nahledy/1187.jpg;299;10089;;Bambusové misky a vázy;Průměr 40 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Bambusový tác oválný;Tác z přírodního bambusu;/nabytek_doplnky/nahledy/1254.jpg;99;5418;;Proutí a košíky;velikost 42x32x6 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový tác RED;Tác kulatý z přírodního bambusu ve vínové barvě;/nabytek_doplnky/nahledy/1188.jpg;299;10000;;Bambusové misky a vázy;Průměr 40 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Blok na nože bambus;Blok na nože je vhodný do každé domácnosti. Nože jsou v něm prakticky uloženy a v plastových špagetách se netupí.;/nabytek_doplnky/nahledy/1706.jpg, /nabytek_doplnky/nahledy/2_1706.jpg;499;90087;;Bambus v kuchyni;Velikost 11x10,7 cm, výška 25 cm;0;0;0;Ratan;2 až 3 týdny;0;;
Botník otevřený medový;Ratanový botník v medové barvě ratanu.;/nabytek_doplnky/nahledy/2666.jpg;2990;1452;;Komody, skříňky a prádelníky ;Materiál přírodní ratan. Barva medová. Velikost botníku je 75x35x95 cm;0;0;0;Ratan;2 až 3 týdny;0;;
Botník Peacock medový;Ratanový botník v medové barvě ratanu.;/nabytek_doplnky/nahledy/2667.jpg;1889;1454;;Komody, skříňky a prádelníky ;Materiál je přírodní ratan. Barva ratanové konstrukce je medová. Velikost botníku je 60x35x63 cm;0;0;0;Ratan;2 až 3 týdny;0;;
Botník s dvířky medový;Ratanový botník s dvířky v medové barvě.;/nabytek_doplnky/nahledy/2668.jpg, /nabytek_doplnky/nahledy/2_2668.jpg;3349;1453;;Komody, skříňky a prádelníky ;Mareriál konstrukce a výpletu je přírodní ratan. Barva ratanové konstrukce i výpletu je medová. Velikost botníku je 62x36x107 cm.;0;0;0;Dřevo;2 až 3 týdny;0;;
Dětský domek Axin Grande;Dětský domek AXIN Grande je jednou z největších variant dětského domku. Domek je vyroben z hoblovaného smrkového materiálu, který je použit na stěny domku. Střecha domku je vyrobena z odolných QSB desek o tloušťce 15 mm.;/nabytek_doplnky/nahledy/3333.jpg, /nabytek_doplnky/nahledy/4_3333.jpg, /nabytek_doplnky/nahledy/2_3333.jpg, /nabytek_doplnky/nahledy/3_3333.jpg;10980;42283;;Domečky pro děti;Domek dodáváme bez povrchové úpravy (nátěru). Každý si tedy může zvolit vlastní barvu či barevnou kombinaci domu a vytvořit tak pro své děti jedinečný originál, a nebo nechat samotné děti, ať se realizují od výběru barev až po samotný nátěr. Na druhé a třetí fotografii se můžete nechat inspirovat realizacemi našich zákazníků. Tato základní varianta domku AXIN Grande je bez podlahy, variantu s podlahou naleznete ve variantách produktu. Velikost domku je: šířka 120 cm, délka 240 cm a výška 170 cm Sřechu domečku doporučujeme pokrýt střešním šindelem jehož montáž je velice jednoduchá Domek dodáváme vzhlem k přepravě v částečně domontovaném stavu. Součástí balení jsou tedy 4 stěny, střecha a kompletní spojovací materiál. K dokončení budete potřebovat cca 30 minut času a křížový šroubovák, v ideálním případě elektrický.;0;0;0;Dřevo;2 až 3 týdny;0;;
Dětský domek Axin Grande s podlahou;Dětský domek AXIN Grande je jednou z největších variant dětského domku. Domek je vyroben z hoblovaného smrkového materiálu, který je použit na stěny domku. Střecha domku je vyrobena z odolných QSB desek o tloušťce 15 mm.;/nabytek_doplnky/nahledy/3334.jpg, /nabytek_doplnky/nahledy/4_3334.jpg, /nabytek_doplnky/nahledy/2_3334.jpg, /nabytek_doplnky/nahledy/3_3334.jpg;11980;42283 + P;;Domečky pro děti;Domek dodáváme bez povrchové úpravy (nátěru). Každý si tedy může zvolit vlastní barvu či barevnou kombinaci domu a vytvořit tak pro své děti jedinečný originál, a nebo nechat samotné děti, ať se realizují od výběru barev až po samotný nátěr. Na druhé a třetí fotografii se můžete nechat inspirovat realizacemi našich zákazníků. Tato základní varianta domku AXIN Grande je včetně podlahy, která je vyrobena z kvalitních QSB desek tloušťky 15 mm. Velikost domku je: šířka 120 cm, délka 240 cm a výška 170 cm Sřechu domečku doporučujeme pokrýt střešním šindelem jehož montáž je velice jednoduchá Domek dodáváme vzhlem k přepravě v částečně domontovaném stavu. Součástí balení jsou tedy 4 stěny, podlaha, střecha a kompletní spojovací materiál. K dokončení budete potřebovat cca 30 minut času a křížový šroubovák, v ideálním případě elektrický.;0;0;0;Dřevo;2 až 3 týdny;0;;
Dětský domek Axin I;Dětský domek AXIN I je základní variantou dětského domku. Domek je vyroben z hoblovaného smrkového materiálu, který je použit na stěny domku. Střecha domku je vyrobena z odolných QSB desek o tloušťce 15 mm.;/nabytek_doplnky/nahledy/3329.jpg, /nabytek_doplnky/nahledy/4_3329.jpg, /nabytek_doplnky/nahledy/2_3329.jpg, /nabytek_doplnky/nahledy/3_3329.jpg;5692;42281;;Domečky pro děti;Domek dodáváme bez povrchové úpravy (nátěru). Každý si tedy může zvolit vlastní barvu či barevnou kombinaci domu a vytvořit tak pro své děti jedinečný originál, a nebo nechat samotné děti, ať se realizují od výběru barev až po samotný nátěr. Na druhé a třetí fotografii se můžete nechat inspirovat realizacemi našich zákazníků. Tato základní varianta domku je bez podlahy, variantu s podlahou naleznete ve variantách produktu. Velikost domku je: šířka 120 cm, délka 140 cm a výška 170 cm Sřechu domečku doporučujeme pokrýt střešním šindelem jehož montáž je velice jednoduchá Domek dodáváme vzhlem k přepravě v částečně domontovaném stavu. Součástí balení jsou tedy 4 stěny, střecha a kompletní spojovací materiál. K dokončení budete potřebovat cca 30 minut času a křížový šroubovák, v ideálním případě elektrický.;0;0;0;Dřevo;2 až 3 týdny;0;;
Dětský domek Axin I s podlahou;Dětský domek AXIN I je základní variantou dětského domku. Domek je vyroben z hoblovaného smrkového materiálu, který je použit na stěny domku. Střecha domku je vyrobena z odolných QSB desek o tloušťce 15 mm.;/nabytek_doplnky/nahledy/3330.jpg, /nabytek_doplnky/nahledy/4_3330.jpg, /nabytek_doplnky/nahledy/2_3330.jpg, /nabytek_doplnky/nahledy/3_3330.jpg;6590;42281 +P;;Domečky pro děti;Domek dodáváme bez povrchové úpravy (nátěru). Každý si tedy může zvolit vlastní barvu či barevnou kombinaci domu a vytvořit tak pro své děti jedinečný originál, a nebo nechat samotné děti, ať se realizují od výběru barev až po samotný nátěr. Na druhé a třetí fotografii se můžete nechat inspirovat realizacemi našich zákazníků. Tato  varianta domku je včetně podlahy z QSB desek o tloušťce 15 mm. Velikost domku je: šířka 120 cm, délka 140 cm a výška 170 cm Sřechu domečku doporučujeme pokrýt střešním šindelem jehož montáž je velice jednoduchá Domek dodáváme vzhlem k přepravě v částečně domontovaném stavu. Součástí balení jsou tedy 4 stěny, podlaha, střecha a kompletní spojovací materiál. K dokončení budete potřebovat cca 30 minut času a křížový šroubovák, v ideálním případě elektrický.;0;0;0;Dřevo;2 až 3 týdny;0;;
